y,z
0.9909267290495336,a
0.29047314217314124,a
0.40748018654994667,a
0.32854322367347777,a
0.8825679207220674,a
0.33149667945690453,a
0.5317878948990256,a
0.03486467129550874,a
0.6117627932690084,a
0.7159698405303061,a
0.4466277929022908,a
0.29991741431877017,a
0.8516298744361848,a
0.546349078649655,a
0.07950830738991499,a
0.8245447864755988,a
0.11896830820478499,a
0.8688052741345018,a
0.6361691956408322,a
0.9223615613300353,a
0.38799294270575047,a
0.19138796464540064,a
0.0012420944403856993,a
0.30908948718570173,a
0.6419491034466773,a
0.18462856765836477,a
0.2173405815847218,a
0.6194189584348351,a
0.38372757541947067,a
0.2719298612792045,a
0.2710246704518795,a
0.8035259922035038,a
0.11938596260733902,a
0.8454050940927118,a
0.9288157965056598,a
0.078814506996423,a
0.12114568054676056,a
0.49333531386218965,a
0.7186720441095531,a
0.7181281296070665,a
0.691847300156951,a
0.06670197984203696,a
0.2453914333600551,a
0.08464922476559877,a
0.49439949775114655,a
0.7072526286356151,a
0.9098971670027822,a
0.017824489623308182,a
0.292466290993616,a
0.9651291659101844,a
0.649371491279453,a
0.677743589039892,a
0.6557978368364275,a
0.08492925041355193,a
0.5546355987899005,a
0.6736676276195794,a
0.842436500126496,a
0.4607406430877745,a
0.040341676445677876,a
0.47195591940544546,a
0.9224111842922866,a
0.07194533199071884,a
0.8986721879336983,a
0.12361426488496363,a
0.3401290944311768,a
0.41473618196323514,a
0.7410211742389947,a
0.7657535295002162,a
0.09802902489900589,a
0.9302110257558525,a
0.9953562400769442,a
0.8450191360898316,a
0.9778593524824828,a
0.7381126738619059,a
0.8474180824123323,a
0.9906741890590638,a
0.8188755521550775,a
0.22380455257371068,a
0.12191137485206127,a
0.1091141882352531,a
0.025471287546679378,a
0.21328513463959098,a
0.6256773446220905,a
0.632624514400959,a
0.3001093310303986,a
0.4584549437277019,a
0.596000837162137,a
0.3978899656794965,a
0.7865206561982632,a
0.8287833586800843,a
0.9061126688029617,a
0.20555542572401464,a
0.831582396524027,a
0.3954965709708631,a
0.6059574340470135,a
0.7976025491952896,a
0.8113310863263905,a
0.3285649742465466,a
0.38393174880184233,a
0.44011459220200777,a
